# Renewables.ninja Solar photovoltaic power (PV) (Point API) - -1.944, 30.062 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Africa/Johannesburg, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Africa/Johannesburg"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""-1.9441"""," ""lon"": ""30.0619"""," ""date_from"": ""2024-01-01"""," ""date_to"": ""2024-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.12"""," ""tracking"": ""0"""," ""tilt"": ""2"""," ""azim"": ""0"""," ""raw"": ""true""}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2024 00:00,01/01/2024 02:00,0,0,0,16.12,,,,,,,,,,,,,
01/01/2024 01:00,01/01/2024 03:00,0,0,0,15.567,,,,,,,,,,,,,
01/01/2024 02:00,01/01/2024 04:00,0,0,0,15.14,,,,,,,,,,,,,
01/01/2024 03:00,01/01/2024 05:00,0,0,0,14.867,,,,,,,,,,,,,
01/01/2024 04:00,01/01/2024 06:00,0.062,0.031,0.06,16.346,,,,,,,,,,,,,
01/01/2024 05:00,01/01/2024 07:00,0.263,0.196,0.122,19.195,,,,,,,,,,,,,
01/01/2024 06:00,01/01/2024 08:00,0.454,0.418,0.141,21.755,,,,,,,,,,,,,
01/01/2024 07:00,01/01/2024 09:00,0.574,0.557,0.173,23.517,,,,,,,,,,,,,
01/01/2024 08:00,01/01/2024 10:00,0.634,0.605,0.22,24.856,,,,,,,,,,,,,
01/01/2024 09:00,01/01/2024 11:00,0.629,0.533,0.288,25.712,,,,,,,,,,,,,
01/01/2024 10:00,01/01/2024 12:00,0.565,0.372,0.356,26.059,,,,,,,,,,,,,
01/01/2024 11:00,01/01/2024 13:00,0.488,0.248,0.371,26.083,,,,,,,,,,,,,
01/01/2024 12:00,01/01/2024 14:00,0.357,0.111,0.334,25.615,,,,,,,,,,,,,
01/01/2024 13:00,01/01/2024 15:00,0.198,0.029,0.22,24.676,,,,,,,,,,,,,
01/01/2024 14:00,01/01/2024 16:00,0.093,0.009,0.119,23.668,,,,,,,,,,,,,
01/01/2024 15:00,01/01/2024 17:00,0.013,0.002,0.033,22.027,,,,,,,,,,,,,
01/01/2024 16:00,01/01/2024 18:00,0,0,0,20.352,,,,,,,,,,,,,
01/01/2024 17:00,01/01/2024 19:00,0,0,0,19.731,,,,,,,,,,,,,
01/01/2024 18:00,01/01/2024 20:00,0,0,0,19.232,,,,,,,,,,,,,
01/01/2024 19:00,01/01/2024 21:00,0,0,0,18.818,,,,,,,,,,,,,
01/01/2024 20:00,01/01/2024 22:00,0,0,0,18.376,,,,,,,,,,,,,
01/01/2024 21:00,01/01/2024 23:00,0,0,0,17.94,,,,,,,,,,,,,
01/01/2024 22:00,02/01/2024 00:00,0,0,0,17.603,,,,,,,,,,,,,
01/01/2024 23:00,02/01/2024 01:00,0,0,0,17.325,,,,,,,,,,,,,
02/01/2024 00:00,02/01/2024 02:00,0,0,0,17.008,,,,,,,,,,,,,
02/01/2024 01:00,02/01/2024 03:00,0,0,0,16.676,,,,,,,,,,,,,
02/01/2024 02:00,02/01/2024 04:00,0,0,0,16.341,,,,,,,,,,,,,
02/01/2024 03:00,02/01/2024 05:00,0,0,0,16.01,,,,,,,,,,,,,
02/01/2024 04:00,02/01/2024 06:00,0.05,0.016,0.061,17.102,,,,,,,,,,,,,
02/01/2024 05:00,02/01/2024 07:00,0.216,0.1,0.164,19.294,,,,,,,,,,,,,
02/01/2024 06:00,02/01/2024 08:00,0.351,0.181,0.247,21.521,,,,,,,,,,,,,
02/01/2024 07:00,02/01/2024 09:00,0.448,0.237,0.319,23.289,,,,,,,,,,,,,
02/01/2024 08:00,02/01/2024 10:00,0.505,0.263,0.374,24.639,,,,,,,,,,,,,
02/01/2024 09:00,02/01/2024 11:00,0.543,0.296,0.398,25.7,,,,,,,,,,,,,
02/01/2024 10:00,02/01/2024 12:00,0.54,0.289,0.404,26.338,,,,,,,,,,,,,
02/01/2024 11:00,02/01/2024 13:00,0.458,0.183,0.395,26.345,,,,,,,,,,,,,
02/01/2024 12:00,02/01/2024 14:00,0.364,0.107,0.347,25.943,,,,,,,,,,,,,
02/01/2024 13:00,02/01/2024 15:00,0.198,0.026,0.223,24.857,,,,,,,,,,,,,
02/01/2024 14:00,02/01/2024 16:00,0.085,0.007,0.112,23.56,,,,,,,,,,,,,
02/01/2024 15:00,02/01/2024 17:00,0.005,0.001,0.022,21.809,,,,,,,,,,,,,
02/01/2024 16:00,02/01/2024 18:00,0,0,0,20.55,,,,,,,,,,,,,
02/01/2024 17:00,02/01/2024 19:00,0,0,0,19.998,,,,,,,,,,,,,
02/01/2024 18:00,02/01/2024 20:00,0,0,0,19.584,,,,,,,,,,,,,
02/01/2024 19:00,02/01/2024 21:00,0,0,0,19.208,,,,,,,,,,,,,
02/01/2024 20:00,02/01/2024 22:00,0,0,0,19.013,,,,,,,,,,,,,
02/01/2024 21:00,02/01/2024 23:00,0,0,0,18.744,,,,,,,,,,,,,
02/01/2024 22:00,03/01/2024 00:00,0,0,0,18.289,,,,,,,,,,,,,
02/01/2024 23:00,03/01/2024 01:00,0,0,0,17.764,,,,,,,,,,,,,
03/01/2024 00:00,03/01/2024 02:00,0,0,0,17.193,,,,,,,,,,,,,
03/01/2024 01:00,03/01/2024 03:00,0,0,0,16.711,,,,,,,,,,,,,
03/01/2024 02:00,03/01/2024 04:00,0,0,0,16.436,,,,,,,,,,,,,
03/01/2024 03:00,03/01/2024 05:00,0,0,0,16.27,,,,,,,,,,,,,
03/01/2024 04:00,03/01/2024 06:00,0.007,0.001,0.024,16.469,,,,,,,,,,,,,
03/01/2024 05:00,03/01/2024 07:00,0.064,0.003,0.09,17.19,,,,,,,,,,,,,
03/01/2024 06:00,03/01/2024 08:00,0.137,0.007,0.167,18.339,,,,,,,,,,,,,
03/01/2024 07:00,03/01/2024 09:00,0.231,0.017,0.265,19.926,,,,,,,,,,,,,
03/01/2024 08:00,03/01/2024 10:00,0.34,0.044,0.371,21.536,,,,,,,,,,,,,
03/01/2024 09:00,03/01/2024 11:00,0.441,0.097,0.449,22.916,,,,,,,,,,,,,
03/01/2024 10:00,03/01/2024 12:00,0.464,0.118,0.461,23.744,,,,,,,,,,,,,
03/01/2024 11:00,03/01/2024 13:00,0.342,0.045,0.376,23.576,,,,,,,,,,,,,
03/01/2024 12:00,03/01/2024 14:00,0.189,0.01,0.227,22.74,,,,,,,,,,,,,
03/01/2024 13:00,03/01/2024 15:00,0.111,0.004,0.144,22.16,,,,,,,,,,,,,
03/01/2024 14:00,03/01/2024 16:00,0.048,0.002,0.075,21.409,,,,,,,,,,,,,
03/01/2024 15:00,03/01/2024 17:00,0.004,0,0.021,20.332,,,,,,,,,,,,,
03/01/2024 16:00,03/01/2024 18:00,0,0,0,19.328,,,,,,,,,,,,,
03/01/2024 17:00,03/01/2024 19:00,0,0,0,18.853,,,,,,,,,,,,,
03/01/2024 18:00,03/01/2024 20:00,0,0,0,18.518,,,,,,,,,,,,,
03/01/2024 19:00,03/01/2024 21:00,0,0,0,18.317,,,,,,,,,,,,,
03/01/2024 20:00,03/01/2024 22:00,0,0,0,18.118,,,,,,,,,,,,,
03/01/2024 21:00,03/01/2024 23:00,0,0,0,17.688,,,,,,,,,,,,,
03/01/2024 22:00,04/01/2024 00:00,0,0,0,16.96,,,,,,,,,,,,,
03/01/2024 23:00,04/01/2024 01:00,0,0,0,16.383,,,,,,,,,,,,,
04/01/2024 00:00,04/01/2024 02:00,0,0,0,16.261,,,,,,,,,,,,,
04/01/2024 01:00,04/01/2024 03:00,0,0,0,16.425,,,,,,,,,,,,,
04/01/2024 02:00,04/01/2024 04:00,0,0,0,16.607,,,,,,,,,,,,,
04/01/2024 03:00,04/01/2024 05:00,0,0,0,16.584,,,,,,,,,,,,,
04/01/2024 04:00,04/01/2024 06:00,0.025,0.004,0.044,17.022,,,,,,,,,,,,,
04/01/2024 05:00,04/01/2024 07:00,0.177,0.056,0.164,19.793,,,,,,,,,,,,,
04/01/2024 06:00,04/01/2024 08:00,0.368,0.221,0.228,21.825,,,,,,,,,,,,,
04/01/2024 07:00,04/01/2024 09:00,0.548,0.477,0.217,23.699,,,,,,,,,,,,,
04/01/2024 08:00,04/01/2024 10:00,0.621,0.565,0.241,25.023,,,,,,,,,,,,,
04/01/2024 09:00,04/01/2024 11:00,0.662,0.62,0.254,26.049,,,,,,,,,,,,,
04/01/2024 10:00,04/01/2024 12:00,0.64,0.565,0.278,26.559,,,,,,,,,,,,,
04/01/2024 11:00,04/01/2024 13:00,0.58,0.456,0.296,26.617,,,,,,,,,,,,,
