# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 6.524, 3.379 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Africa/Lagos, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Africa/Lagos"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""6.5244"""," ""lon"": ""3.3792"""," ""date_from"": ""2024-01-01"""," ""date_to"": ""2024-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.16"""," ""tracking"": ""0"""," ""tilt"": ""7"""," ""azim"": ""180"""," ""raw"": ""true""}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2024 00:00,01/01/2024 01:00,0,0,0,25.74,,,,,,,,,,,,,
01/01/2024 01:00,01/01/2024 02:00,0,0,0,25.537,,,,,,,,,,,,,
01/01/2024 02:00,01/01/2024 03:00,0,0,0,25.32,,,,,,,,,,,,,
01/01/2024 03:00,01/01/2024 04:00,0,0,0,25.11,,,,,,,,,,,,,
01/01/2024 04:00,01/01/2024 05:00,0,0,0,24.928,,,,,,,,,,,,,
01/01/2024 05:00,01/01/2024 06:00,0,0,0,24.809,,,,,,,,,,,,,
01/01/2024 06:00,01/01/2024 07:00,0.031,0.01,0.049,25.327,,,,,,,,,,,,,
01/01/2024 07:00,01/01/2024 08:00,0.171,0.075,0.155,26.22,,,,,,,,,,,,,
01/01/2024 08:00,01/01/2024 09:00,0.333,0.217,0.22,27.354,,,,,,,,,,,,,
01/01/2024 09:00,01/01/2024 10:00,0.426,0.299,0.27,28.279,,,,,,,,,,,,,
01/01/2024 10:00,01/01/2024 11:00,0.514,0.418,0.284,29.084,,,,,,,,,,,,,
01/01/2024 11:00,01/01/2024 12:00,0.548,0.472,0.286,29.819,,,,,,,,,,,,,
01/01/2024 12:00,01/01/2024 13:00,0.568,0.537,0.255,30.43,,,,,,,,,,,,,
01/01/2024 13:00,01/01/2024 14:00,0.511,0.456,0.247,30.75,,,,,,,,,,,,,
01/01/2024 14:00,01/01/2024 15:00,0.403,0.306,0.237,30.765,,,,,,,,,,,,,
01/01/2024 15:00,01/01/2024 16:00,0.257,0.143,0.201,30.529,,,,,,,,,,,,,
01/01/2024 16:00,01/01/2024 17:00,0.096,0.031,0.11,29.991,,,,,,,,,,,,,
01/01/2024 17:00,01/01/2024 18:00,0,0.002,0.014,29.226,,,,,,,,,,,,,
01/01/2024 18:00,01/01/2024 19:00,0,0,0,28.167,,,,,,,,,,,,,
01/01/2024 19:00,01/01/2024 20:00,0,0,0,27.331,,,,,,,,,,,,,
01/01/2024 20:00,01/01/2024 21:00,0,0,0,26.89,,,,,,,,,,,,,
01/01/2024 21:00,01/01/2024 22:00,0,0,0,26.642,,,,,,,,,,,,,
01/01/2024 22:00,01/01/2024 23:00,0,0,0,26.436,,,,,,,,,,,,,
01/01/2024 23:00,02/01/2024 00:00,0,0,0,26.283,,,,,,,,,,,,,
02/01/2024 00:00,02/01/2024 01:00,0,0,0,26.175,,,,,,,,,,,,,
02/01/2024 01:00,02/01/2024 02:00,0,0,0,26.071,,,,,,,,,,,,,
02/01/2024 02:00,02/01/2024 03:00,0,0,0,25.989,,,,,,,,,,,,,
02/01/2024 03:00,02/01/2024 04:00,0,0,0,25.965,,,,,,,,,,,,,
02/01/2024 04:00,02/01/2024 05:00,0,0,0,25.916,,,,,,,,,,,,,
02/01/2024 05:00,02/01/2024 06:00,0,0,0,25.898,,,,,,,,,,,,,
02/01/2024 06:00,02/01/2024 07:00,0.011,0.002,0.031,26.262,,,,,,,,,,,,,
02/01/2024 07:00,02/01/2024 08:00,0.07,0.006,0.101,26.78,,,,,,,,,,,,,
02/01/2024 08:00,02/01/2024 09:00,0.154,0.017,0.193,27.405,,,,,,,,,,,,,
02/01/2024 09:00,02/01/2024 10:00,0.263,0.049,0.299,28.26,,,,,,,,,,,,,
02/01/2024 10:00,02/01/2024 11:00,0.391,0.138,0.384,29.133,,,,,,,,,,,,,
