# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 0.348, 32.583 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Moscow, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Moscow"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""0.3476"""," ""lon"": ""32.5825"""," ""date_from"": ""2024-01-01"""," ""date_to"": ""2024-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.12"""," ""tracking"": ""0"""," ""tilt"": ""5"""," ""azim"": ""180"""," ""raw"": ""true""}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2024 00:00,01/01/2024 03:00,0,0,0,19.556,,,,,,,,,,,,,
01/01/2024 01:00,01/01/2024 04:00,0,0,0,19.496,,,,,,,,,,,,,
01/01/2024 02:00,01/01/2024 05:00,0,0,0,19.559,,,,,,,,,,,,,
01/01/2024 03:00,01/01/2024 06:00,0,0,0,19.595,,,,,,,,,,,,,
01/01/2024 04:00,01/01/2024 07:00,0.011,0.001,0.03,19.994,,,,,,,,,,,,,
01/01/2024 05:00,01/01/2024 08:00,0.065,0.003,0.092,20.587,,,,,,,,,,,,,
01/01/2024 06:00,01/01/2024 09:00,0.141,0.009,0.173,21.659,,,,,,,,,,,,,
01/01/2024 07:00,01/01/2024 10:00,0.236,0.021,0.272,23.01,,,,,,,,,,,,,
01/01/2024 08:00,01/01/2024 11:00,0.291,0.03,0.329,23.764,,,,,,,,,,,,,
01/01/2024 09:00,01/01/2024 12:00,0.336,0.041,0.373,24.188,,,,,,,,,,,,,
01/01/2024 10:00,01/01/2024 13:00,0.358,0.053,0.389,24.375,,,,,,,,,,,,,
01/01/2024 11:00,01/01/2024 14:00,0.353,0.062,0.375,24.423,,,,,,,,,,,,,
01/01/2024 12:00,01/01/2024 15:00,0.299,0.052,0.317,24.235,,,,,,,,,,,,,
